	domain	phylum	class	order	family	genus	species
ASV_659	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_660	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_661	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV_662	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter	NA
ASV_663	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_664	NA	NA	NA	NA	NA	NA	NA
ASV_665	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_666	Bacteria	NA	NA	NA	NA	NA	NA
ASV_667	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_668	Bacteria	Firmicutes	Bacilli	Desulfuribacillales	Desulfuribacillaceae	Desulfuribacillus	NA
ASV_669	Bacteria	Spirochaetota	V2072-189E03	NA	NA	NA	NA
ASV_670	NA	NA	NA	NA	NA	NA	NA
ASV_671	NA	NA	NA	NA	NA	NA	NA
ASV_672	NA	NA	NA	NA	NA	NA	NA
ASV_673	Eukaryota	NA	Incertae Sedis_3	NA	NA	Picocystis	NA
ASV_674	NA	NA	NA	NA	NA	NA	NA
ASV_675	NA	NA	NA	NA	NA	NA	NA
ASV_676	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV_677	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_678	Bacteria	NA	NA	NA	NA	NA	NA
ASV_679	NA	NA	NA	NA	NA	NA	NA
ASV_680	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Marinospirillum	NA
ASV_681	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_682	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	NA
ASV_683	Bacteria	NA	NA	NA	NA	NA	NA
ASV_684	Bacteria	Margulisbacteria	NA	NA	NA	NA	NA
ASV_685	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	NA
ASV_686	NA	NA	NA	NA	NA	NA	NA
ASV_687	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	NA
ASV_688	NA	NA	NA	NA	NA	NA	NA
ASV_689	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	NA
ASV_690	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_691	NA	NA	NA	NA	NA	NA	NA
ASV_692	Bacteria	NA	NA	NA	NA	NA	NA
ASV_693	NA	NA	NA	NA	NA	NA	NA
ASV_694	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_695	Bacteria	NA	NA	NA	NA	NA	NA
ASV_696	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	Pseudobacteriovorax	NA
ASV_697	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_698	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	NA	NA
ASV_699	Bacteria	NA	NA	NA	NA	NA	NA
