	GB19-0250	GB19-0251	GB19-0252	GB19-0253	GB19-0254	MLW-0517-0-5	MLW-0517-10	MLW-0517-20	MLW-0517-25	MLW-0517-30	MLW-0518-00	MLW-0518-05	MLW-0518-10	MLW-0518-12	MLW-0518-17	MLW-0518-20	MLW-0518-25	MLW-0518-35	MLW-0519-05	MLW-0519-12	MLW-0519-15	MLW-0519-17	MLW-0519-25	MLW-0519-35	MLW-0521-05	MLW-0521-10	MLW-0521-14	MLW-0521-18	MLW-0521-22	MLW-0521-27	MLW-0521-35	MLW-0617-0-5m	MLW-0617-10m	MLW-0617-15m	MLW-0617-20m	MLW-0617-27m	MLW-0917-05-1	MLW-0917-05-2	MLW-0917-05-3	MLW-0917-10-1	MLW-0917-10-2	MLW-0917-10-3	MLW-0917-15-1	MLW-0917-15-2	MLW-0917-15-3	MLW-0917-20-1	MLW-0917-20-2	MLW-0917-20-3	MLW-0917-24-1	MLW-0917-24-2	MLW-0917-24-3	MLW-0917-5-1	MLW-0917-5-2	MLW-0917-5-3	MLW-0919-00	MLW-0919-10	MLW-0919-16	MLW-0919-17	MLW-0919-18	MLW-0919-20	MLW-0919-30	MLW-0920-05	MLW-0920-10	MLW-0920-15	MLW-0920-18	MLW-0920-20	MLW-0920-22	MLW-0920-25	MLW-0920-30	MLW-1018-00	MLW-1018-05	MLW-1018-12	MLW-1018-15	MLW-1018-17	MLW-1018-20	MLW-1018-30	MLW-1018-35	MLW-DNAexBlank-50cyc
ASV_24	648	136	293	0	0	4	16	5	18	52	0	0	0	0	357	119	191	252	0	0	30	85	348	349	0	0	0	0	0	0	2	0	0	5	0	22	10	25	0	19	22	28	42	51	44	92	91	85	76	95	119	0	2	4	0	14	248	197	146	301	109	17	130	251	274	72	80	133	152	8	7	0	196	196	137	165	209	0
ASV_25	35	117	64	0	0	0	5	15	22	43	0	0	0	14	47	44	72	93	3	17	36	92	50	28	0	0	2	0	0	1	0	0	0	0	23	47	133	144	120	169	177	139	310	289	275	316	421	395	261	327	359	9	12	12	16	67	128	94	57	58	11	39	277	287	299	48	52	9	32	34	22	29	78	61	66	37	42	0
ASV_26	13	8	8	20	6	73	80	57	58	35	3	0	2	0	14	5	0	10	4	13	8	13	9	6	0	18	21	6	0	3	3	15	19	9	4	4	32	34	35	23	21	15	0	0	2	10	7	13	9	6	19	40	31	24	95	57	7	9	7	20	3	1572	1683	425	160	52	41	31	43	115	111	134	17	19	20	12	15	0
ASV_27	499	123	249	1	1	0	0	4	9	27	0	0	0	4	115	112	139	130	8	21	19	105	361	311	0	0	0	0	0	1	0	0	0	0	0	7	10	16	2	20	34	19	11	9	3	8	23	15	13	19	16	0	0	3	2	25	250	163	199	392	126	7	78	105	168	31	58	40	47	11	2	12	301	233	198	86	305	0
ASV_28	0	0	0	6	0	165	1210	309	314	203	0	0	0	0	2	1	0	3	0	0	0	0	1	0	0	6	3	2	0	0	0	21	814	141	13	5	86	63	56	62	72	66	24	24	33	25	17	15	19	8	24	219	191	228	6	60	3	1	1	2	1	271	291	92	24	8	7	6	2	6	0	2	3	4	0	3	0	0
ASV_29	12	12	10	60	324	501	94	57	65	52	0	0	1	0	0	0	0	0	66	26	0	6	0	7	467	333	44	96	116	194	92	724	55	0	7	8	317	34	338	13	21	4	12	4	5	1	7	9	5	1	4	20	13	17	168	18	8	2	0	0	0	33	20	3	0	1	2	0	0	74	46	62	5	0	2	2	1	0
ASV_30	23	14	18	38	35	760	449	516	370	467	3	7	7	7	5	1	0	7	69	30	13	8	12	14	76	128	46	23	23	39	25	100	80	19	29	22	50	37	70	17	20	19	11	7	17	31	23	14	28	17	17	31	27	38	57	38	11	20	9	30	10	49	52	36	10	3	0	3	0	18	27	18	9	11	11	2	13	0
ASV_31	136	0	0	0	0	0	0	149	158	176	0	49	0	74	88	0	129	0	0	0	0	0	0	0	0	74	150	64	67	98	21	0	136	0	0	128	145	107	54	0	111	74	81	90	168	0	219	160	168	143	171	0	92	87	0	58	58	55	82	44	34	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	10	33	22	158	58	381	237	244	240	262	13	10	12	10	11	4	2	0	150	62	31	36	17	17	36	44	17	16	12	10	11	16	9	4	3	2	15	21	17	14	6	0	6	9	7	9	12	8	11	12	6	18	10	6	49	60	55	21	15	20	0	396	273	144	45	29	10	18	13	65	87	46	46	26	25	19	33	0
ASV_33	4	10	8	16	45	135	59	85	96	85	3	7	8	0	0	0	3	0	16	1	1	0	0	0	124	93	95	41	32	124	50	63	14	0	2	6	771	106	599	0	3	4	2	5	2	0	6	6	2	12	7	23	11	36	300	26	1	0	0	0	0	171	129	43	19	0	0	3	2	89	49	55	1	0	1	0	1	0
ASV_34	34	19	20	66	70	575	243	188	212	265	0	2	2	0	12	12	2	11	34	17	6	10	5	19	6	54	21	5	6	4	5	174	61	15	14	10	48	28	28	28	38	23	22	16	15	7	25	27	12	10	20	21	9	9	40	31	17	15	9	21	12	92	150	168	135	51	72	56	28	44	49	25	18	20	21	21	24	0
ASV_35	5	3	5	119	1728	997	47	5	8	12	4	0	0	0	0	0	0	0	41	0	0	0	0	1	184	80	0	1	0	0	0	200	5	0	0	3	25	0	16	2	0	0	0	0	0	5	3	3	0	0	2	8	2	4	20	0	6	4	0	11	10	19	10	6	11	0	0	0	0	24	10	9	1	3	0	0	0	0
ASV_36	119	138	101	181	15	96	134	217	318	348	7	31	50	17	30	28	14	7	123	80	42	39	42	37	0	78	142	48	22	12	17	29	82	23	24	27	28	19	11	19	24	22	22	16	11	9	9	15	15	11	12	15	17	37	5	27	37	16	22	43	4	54	64	28	17	5	4	10	6	23	26	20	34	31	22	44	36	0
